state,permit,handgun,long_gun,other,year
New York,4135.0,10716.0,14278.0,961.0,2016
North Carolina,28076.0,1208.0,12513.0,755.0,2016
North Dakota,1216.0,1284.0,2601.0,92.0,2016
Ohio,13656.0,26261.0,17526.0,1626.0,2016
Oklahoma,0.0,10881.0,9762.0,1008.0,2016
Oregon,71.0,12661.0,10173.0,0.0,2016
Pennsylvania,27897.0,46155.0,11700.0,4.0,2016
Puerto Rico,0.0,1073.0,234.0,21.0,2016
Rhode Island,0.0,1039.0,770.0,104.0,2016
South Carolina,13000.0,8828.0,6906.0,494.0,2016
South Dakota,1259.0,2387.0,3559.0,202.0,2016
Tennessee,18828.0,22737.0,16198.0,0.0,2016
Texas,25803.0,42302.0,40269.0,3137.0,2016
Utah,13405.0,2917.0,3503.0,277.0,2016
Vermont,0.0,1269.0,1296.0,108.0,2016
Virgin Islands,55.0,29.0,6.0,0.0,2016
Virginia,776.0,21108.0,15802.0,978.0,2016
Washington,14063.0,15083.0,11376.0,1622.0,2016
West Virginia,1948.0,6916.0,5283.0,243.0,2016
Wisconsin,25551.0,14764.0,12079.0,709.0,2016
Wyoming,906.0,1721.0,2079.0,105.0,2016
Alabama,27765.0,10132.0,7392.0,538.0,2016
Alaska,215.0,2898.0,2816.0,239.0,2016
Arizona,7863.0,13693.0,8643.0,1283.0,2016
Arkansas,4116.0,6323.0,5053.0,325.0,2016
California,77962.0,46361.0,47594.0,17297.0,2016
Colorado,6372.0,18765.0,15176.0,1505.0,2016
Connecticut,14156.0,11328.0,4015.0,252.0,2016
Delaware,755.0,1859.0,1569.0,140.0,2016
District of Columbia,0.0,57.0,1.0,0.0,2016
Florida,28106.0,57902.0,28000.0,4504.0,2016
Georgia,20555.0,15342.0,8597.0,635.0,2016
Guam,0.0,94.0,56.0,16.0,2016
Hawaii,1563.0,0.0,0.0,0.0,2016
Idaho,3606.0,3592.0,3576.0,247.0,2016
Illinois,125075.0,21421.0,11881.0,0.0,2016
Indiana,53844.0,19508.0,12191.0,1600.0,2016
Iowa,9391.0,186.0,2227.0,27.0,2016
Kansas,1320.0,6075.0,4942.0,462.0,2016
Kentucky,342858.0,9378.0,6615.0,321.0,2016
Louisiana,2595.0,21637.0,12252.0,1453.0,2016
Maine,540.0,3426.0,3026.0,266.0,2016
Mariana Islands,0.0,0.0,1.0,0.0,2016
Maryland,2383.0,3973.0,5505.0,105.0,2016
Massachusetts,7091.0,6257.0,5108.0,1498.0,2016
Michigan,15869.0,11308.0,8095.0,510.0,2016
Minnesota,22422.0,9743.0,9207.0,913.0,2016
Mississippi,1913.0,10425.0,6125.0,436.0,2016
Missouri,6903.0,20791.0,13575.0,1698.0,2016
Montana,1356.0,2894.0,3882.0,218.0,2016
Nebraska,3629.0,93.0,1529.0,27.0,2016
Nevada,2497.0,5194.0,3006.0,328.0,2016
New Hampshire,3882.0,5200.0,3716.0,181.0,2016
New Jersey,0.0,5708.0,4155.0,211.0,2016
New Mexico,1103.0,5380.0,3966.0,475.0,2016
New York,3738.0,10900.0,13073.0,1131.0,2016
North Carolina,25408.0,1157.0,12487.0,1025.0,2016
North Dakota,1305.0,1333.0,2457.0,116.0,2016
Ohio,11762.0,27876.0,17720.0,2166.0,2016
